"unitid","institution name","year","DRVGR2013.Graduation rate, total cohort","DRVIC2013.Percent admitted - total","DRVIC2013.Admissions yield - total","DRVIC2013.Tuition and fees, 2013-14","DRVIC2013.Total price for in-state students living on campus 2013-14","DRVIC2013.Total price for out-of-state students living on campus 2013-14","DRVEF2013.Total  enrollment","DRVEF2013.Undergraduate enrollment","DRVEF2013.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2013.Percent of total enrollment that are Asian","DRVEF2013.Percent of total enrollment that are Black or African American","DRVEF2013.Percent of total enrollment that are Hispanic/Latino","DRVEF2013.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2013.Percent of total enrollment that are White","EF2013D.Student-to-faculty ratio","EF2013D.Full-time retention rate, 2013","SFA1213.Percent of full-time first-time undergraduates receiving any financial aid","SFA1213.Average amount of federal, state, local or institutional grant aid received","SFA1213.Average amount of student loan aid received by full-time first-time undergraduates","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid,2012-13","SFA1213.Average net price-students receiving grant or scholarship aid, 2012-13","SFA1213.Average net price (income 0-30,000)-students receiving Title IV Federal financial aid, 2012-13","IC2013.SAT Critical Reading 25th percentile score","IC2013.SAT Critical Reading 75th percentile score","IC2013.SAT Math 25th percentile score","IC2013.SAT Math 75th percentile score","IC2013.SAT Writing 25th percentile score","IC2013.SAT Writing 75th percentile score","IC2013.ACT Composite 25th percentile score","IC2013.ACT Composite 75th percentile score"
"236258","Peninsula College","2013","28",,,"4246",,,"2405","2405","4","1","4","7","0","60","15",,"75","4723","4891","7290","6180",,,,,,,,,,
"236328","University of Puget Sound","2013","78","85","17","41868","55948","55948","2812","2544","0","7","1","7","0","75","12","87","97","19576","7154",,,"34295","22973","570","670","550","660","550","670","25","30"
"236504","Seattle Community College-South Campus","2013","29",,,"3824",,,"4951","4951","1","12","11","7","1","48","16",,"69","5808","7500","6502","5231",,,,,,,,,,
"236513","Seattle Central College","2013","25",,,"3893",,,"7110","7110","1","11","10","6","0","35","16",,"66","6586","7600","5512","4839",,,,,,,,,,
"236939","Washington State University","2013","65","82","34","12327","27697","40779","27642","23070","1","5","3","10","0","64","15","80","79","10361","6516","16278","10232",,,"450","570","460","580","440","550","19","25"
"236948","University of Washington-Seattle Campus","2013","82","55","37","12397","27034","46608","43762","29756","1","20","2","6","0","48","15","93","55","14970","5632","9559","6220",,,"520","650","580","710","530","640","25","30"
"237011","Western Washington University","2013","69","84","35","8863","22671","33560","14950","14026","0","6","1","7","0","76","20","83","73","7618","5947","14253","8859",,,"490","620","500","600",,,"22","28"
"237057","Whitman College","2013","88","57","27","43500","56600","56600","1541","1541","0","6","1","8","0","72","9","94","91","20502","5889",,,"34363","16483","610","730","610","693","608","700","28","32"
"243744","Stanford University","2013","96","6","76","43683","60749","60749","18346","7274","0","15","4","10","0","38","11","99","66","39299","7468",,,"19109","3516","680","780","700","790","690","780","31","34"
"244011","ITT Technical Institute-Sylmar","2013","37","94","49","18048",,,"557","557","1","8","10","52","1","23","21",,"86","5285","9677",,,"20961","20149",,,,,,,,
"245838","Antioch University-Los Angeles","2013",,,,,,,"986","319","0","5","13","21","0","50","8",,,,,,,,,,,,,,,,
"245847","Antioch University-Santa Barbara","2013",,,,,,,"375","168","1","4","5","27","1","58","11",,,,,,,,,,,,,,,,
"245883","Antioch University-Seattle","2013",,"79","91","20595",,,"884","230","2","3","6","3","1","68","9","0","69","9620","5969",,,"26442","19220",,,,,,,,
"260789","Platt College-Los Angeles","2013","47",,,"14572",,,"608","608","0","15","3","70","1","8","17","89","93","4008","7912",,,"30298","29952",,,,,,,,
"262086","Brandman University","2013",,"100","71","8800",,,"7746","3885","1","5","10","23","1","49","14",,,,,,,,,,,,,,,,
"366711","California State University-San Marcos","2013","48","63","28","6649","23162","34322","11300","10738","0","9","3","36","0","36","24","82","73","9038","5652","11133","8427",,,"430","530","430","540",,,"18","23"
"372073","Fremont College","2013","60",,,,,,"344","344","0","7","19","54","0","8","19","0","92","3916","8064",,,"17066","17487",,,,,,,,
"377546","Northwest College of Art & Design","2013","36","82","63","19000",,,"94","94","5","2","2","12","1","60","18","64","93","8706","10108",,,"22629","23637",,,,,,,,
"377555","University of Washington-Bothell Campus","2013","68","76","31","11911","27658","47232","4604","4104","1","23","5","8","1","49","18","79","69","13314","5101","9400","6676",,,"430","560","460","590","420","530","19","23"
"377564","University of Washington-Tacoma Campus","2013","49","85","40","11902","27649","47223","4295","3626","1","15","7","9","1","49","17","78","83","12962","5445","9123","5594",,,"410","540","430","550","410","510","17","23"
"378406","ITT Technical Institute-Torrance","2013","30","94","42","18048",,,"457","457","1","11","25","48","0","11","31",,"86","4483","9445",,,"21428","20310",,,,,,,,
"378576","Pacific College of Oriental Medicine-San Diego","2013","50",,,"8088",,,"510","125","1","15","4","12","1","59","15",,"63","4025","8700",,,"22535","20633",,,,,,,,
"380377","Northwest Indian College","2013","9",,,"4155","13701","13701","681","681","94","0","1","0","1","2","13","25","100","5017",,"6418","5574",,,,,,,,,,
"381909","ITT Technical Institute-San Bernardino","2013","41","94","45","18048",,,"730","730","1","4","15","46","0","25","32",,"95","5024","8571",,,"19658","19944",,,,,,,,
"397270","Bristol University","2013","94",,,,,,"82","33","0","61","9","26","0","5","10",,"100","7587","875",,,"21551","13098",,,,,,,,
"398130","Mt Sierra College","2013","36",,,"13361",,,"538","538","1","9","4","47","2","19","22","57","98","5349","10692",,,"22665","22910",,,,,,,,
"399869","Southern California Institute of Technology","2013","64",,,"17130",,,"496","496","0","15","5","49","3","24","20","67","93","7094","9813",,,"21709","24182",,,,,,,,
"399911","Soka University of America","2013","84","43","61","29144","43128","43128","412","412","1","19","5","8","0","20","9","96","100","27777","6385",,,"13065","9312","500","640","580","700","540","630","25","29"
"409698","California State University-Monterey Bay","2013","38","44","16","5963","19210","30370","5732","5306","1","5","6","39","0","34","22","81","78","10080","5332","8384","5334",,,"430","540","430","540",,,"18","24"
"410502","The Art Institute of California-Argosy University Hollywood","2013","20",,,"18748","34825","34825","1906","1906","1","5","14","44","3","21","19","65","99","6453","8088",,,"27358","26286",,,,,,,,
"413848","ITT Technical Institute-Oxnard","2013","40","94","44","18048",,,"312","312","0","10","6","44","1","31","24",,"77","4051","8314",,,"22510","21921",,,,,,,,
"414531","ITT Technical Institute-Everett","2013","28","94","40","18048",,,"271","271","1","8","7","8","0","70","19",,"75","7178","7328",,,"20575","19991",,,,,,,,
"422695","Pacific College","2013","71",,,,,,"277","277","0","18","8","53","0","14","15","100","100","3531","9575",,,"15874","15085",,,,,,,,
"429599","ITT Technical Institute-Henderson","2013","33","95","40","18048",,,"469","469","1","14","14","21","1","40","20",,"85","4188","9134",,,"22951","21642",,,,,,,,
"432223","University of Phoenix-Western Washington Campus","2013","22",,,"11256",,,"642","566","1","4","16","8","5","31","13","72","98","4698","8529",,,"19333","18958",,,,,,,,
"432241","University of Phoenix-Oregon Campus","2013","21",,,"11320",,,"694","639","1","2","2","10","1","50","12","53","98","5514","8443",,,"18670","18607",,,,,,,,
"432384","Platt College-Ontario","2013","62",,,"14572",,,"467","467","1","5","9","56","1","21","13","83","93","4677","11512",,,"29230","28272",,,,,,,,
"432533","The Art Institute of California-Argosy University Los Angeles","2013","26",,,"18748","35317","35317","1808","1808","0","2","5","39","0","6","21","61","93","6808","9008",,,"26518","25692",,,,,,,,
"433004","American University of Health Sciences","2013","89","50","100","22684",,,"287","280","0","71","5","11","1","9","11","33","100","1838","10523",,,"26521",,,,,,,,,
"433420","Santa Barbara Business College-Ventura","2013","72",,,"12580",,,"349","339","1","3","9","58","0","26","15","67","97","4945","8469",,,"20468","20537",,,,,,,,
"436429","Los Angeles Film School","2013","78",,,,,,"2218","2218","0","3","23","23","0","17","15","75","48","1588","2759",,,"26293","28983",,,,,,,,
"436438","Argosy University-Orange County","2013",,,,"13663",,,"673","251","1","12","9","31","2","41","7","33","100","4724","7717",,,"21560","20387",,,,,,,,
"437219","ITT Technical Institute-Lathrop","2013","51","97","52","18048",,,"492","492","1","10","10","40","0","32","31",,"92","4557","8328",,,"21354","20343",,,,,,,,
"437848","Westwood College-Anaheim","2013","46",,,"15148",,,"772","772","1","3","2","19","1","18","18","61","100","6780","14726",,,"20656","21174",,,,,,,,
"439057","Argosy University-Seattle","2013",,,,"13663",,,"365","153","3","6","19","7","1","61","7","0","50","4857","4750",,,"21662","21662",,,,,,,,
"440299","Everest College-Ontario Metro","2013","46",,,"14238",,,"962","962","0","5","9","62","2","14","40","50","100","5289","10317",,,"22716","22524",,,,,,,,
"440484","Westwood College-Inland Empire","2013","33",,,"15134",,,"979","979","0","2","5","24","0","13","22","67","100","6368","14327",,,"22089","22345",,,,,,,,
"441900","Nevada State College","2013","14","50","48","4482",,,"3377","3377","1","10","11","21","2","45","19","68","89","5301","5132","11611","9252",,,,,,,,,,
"441937","California State University-Channel Islands","2013","52","64","17","6471","25007","36167","5140","4963","0","5","2","41","0","38","20","78","70","9757","5965","12820","10665",,,"430","530","420","530",,,"17","23"
"441973","The Art Institute of California-Argosy University Orange County","2013","36",,,"18748","35326","35326","1761","1761","0","7","2","37","1","15","19","56","94","7343","8529",,,"24760","24398",,,,,,,,
"442930","University of Antelope Valley","2013","33",,,,,,"804","793","1","2","20","45","1","30","15","73","68","3685","8260",,,"17154","17072",,,,,,,,
"442949","Birthingway College of Midwifery","2013",,,,,,,"82","82","1","2","0","2","0","79","6",,,,,,,,,,,,,,,,
"443331","West Coast University-Los Angeles","2013",,"54","33","32525",,,"1435","1374","0","37","3","20","2","32","22","83","92","5950","10872",,,"37246","35368",,,,,,,,
"443410","DigiPen Institute of Technology","2013","54","66","66","26720","41456","41456","1000","894","0","6","1","7","0","46","18","76","73","7050","7803",,,"30888","29738","540","668","553","670","520","610","25","30"
"445188","University of California-Merced","2013","57","76","14","13160","33499","56377","6195","5837","0","24","6","42","1","17","20","84","90","19877","4554","11649","8670",,,"440","550","460","590","440","550","18","24"
"445735","Roseman University of Health Sciences","2013",,,,,,,"1343","264","0","35","3","4","1","50","6",,,,,,,,,,,,,,,,
"446561","Stanbridge College","2013","70","79","59",,,,"963","963","1","23","4","29","6","27","15",,"94","5726","10996",,,"21012","21145",,,,,,,,
"446792","International Academy of Design and Technology-Henderson","2013","18",,,"15000",,,"447","447","1","7","20","12","3","29","16","46","98","5011","8273",,,"15258","14551",,,,,,,,
"446808","International Academy of Design and Technology-Seattle","2013","24",,,"15150",,,"384","384","2","7","6","2","2","28","19","54","100","5234","10135",,,"17238","16433",,,,,,,,
"447050","United States University","2013",,,,"8060",,,"282","178","0","2","4","30","2","6","7",,"36","3739","8090",,,"15372","15945",,,,,,,,
"447272","Argosy University-Los Angeles","2013",,,,"13663",,,"620","319","0","4","45","32","0","13","17","61","94","4643","8663",,,"20773","20681",,,,,,,,
"447458","Expression College for Digital Arts","2013","45",,,"23747",,,"574","574","0","5","6","7","1","20","12","84","81","6177","9521",,,"24629","22728",,,,,,,,
"448451","ITT Technical Institute-Clovis","2013","28","93","30","18048",,,"439","439","3","7","6","47","0","30","22",,"87","4114","9357",,,"21990","21657",,,,,,,,
"448576","The Art Institute of California-Argosy University Inland Empire","2013","35",,,"18748","36022","36022","2307","2307","1","3","12","51","2","21","24","73","98","5993","8010",,,"25646","24708",,,,,,,,
"449870","University of the West","2013","33",,,"9486","21640","21640","362","142","0","15","1","13","0","9","8","80","87","11470","4548",,,"8017","5502",,,,,,,,
"450094","The Art Institute of California-Argosy University Sacramento","2013","52",,,"18748","32860","32860","1185","1185","1","4","5","26","1","27","19","45","98","7095","7540",,,"26515","25599",,,,,,,,
"450447","International Academy of Design and Technology-Sacramento","2013","17",,,"15508",,,"194","194","1","9","12","5","2","17","9","63","92","5895","8500",,,"17412","16673",,,,,,,,
"450526","Argosy University-Inland Empire","2013",,,,"13663",,,"704","388","0","3","31","36","1","20","12","83","100","4780","9000",,,"19681","19502",,,,,,,,
"450544","Argosy University-San Diego","2013",,,,"13663",,,"487","270","1","5","28","25","2","37","15","60","80","3609","10500",,,"23716","21958",,,,,,,,
"450979","Trident University International","2013","58",,,"6600",,,"7093","3996","1","2","11","9","1","17","18","33","38","3757","7725",,,"15107","15251",,,,,,,,
"451848","The Art Institute of California-Argosy University-Silicon Valley","2013",,,,"18748","37135","37135","570","570","1","18","4","40","4","24","12","68","97","5273","10408",,,"26746","26386",,,,,,,,
"456427","ITT Technical Institute-Concord","2013",,"89","24","18048",,,"258","258","2","18","18","24","1","29","27",,"83","4018","8961",,,"22862","21402",,,,,,,,
"457299","Angeles College","2013","84",,,,,,"145","145","1","41","21","27","0","9","15",,"93","4865","8586",,,"15285","14574",,,,,,,,
"458210","West Coast University-Orange County","2013",,"53","17","33600",,,"1528","1528","0","44","3","15","3","26","21","91","100","5364","10494",,,"39870","39213",,,,,,,,
"458229","West Coast University-Ontario","2013",,"49","36","32525",,,"1103","1103","1","35","4","10","4","30","20","75","90","6260","22904",,,"36221","35538",,,,,,,,
"459204","Unitek College","2013","85",,,"18968",,,"904","904","0","31","4","16","2","13","15",,"82","5780","14185",,,"27925","26021",,,,,,,,
"459639","ITT Technical Institute-Corona","2013",,"98","38","18048",,,"479","479","1","6","12","40","1","31","52",,"82","4646","8967",,,"22493","21705",,,,,,,,
"459684","ITT Technical Institute-West Covina","2013",,"100","0","18048",,,"148","148","1","14","6","68","0","7","24",,"82","5244","10053",,,"21127","21471",,,,,,,,
"459693","ITT Technical Institute-Culver City","2013",,"91","35","18048",,,"319","319","1","3","32","52","0","8","40","0","91","4881","8307",,,"21819","21708",,,,,,,,
"459718","ITT Technical Institute-Las Vegas","2013",,"97","40","18048",,,"569","569","1","7","28","25","0","29","31",,"85","3814","8343",,,"23735","23916",,,,,,,,
"459727","Touro University Worldwide","2013",,"88","27","15640",,,"363","161","0","1","7","3","0","41","3","67","100","10748","5500",,,"9750","6163",,,,,,,,
"460075","California University of Management and Sciences","2013",,,,"10745",,,"405","54","0","3","1","0","0","3","12","100","6","7631",,,,"18189","20289",,,,,,,,
"460729","Allied American University","2013",,,,,,,"2628","2628","1","2","22","15","1","55","10","80","31","3649","5450",,,"16439","16534",,,,,,,,
"461148","New York Film Academy","2013",,,,,,,"1717","1344","1","19","6","9","0","34","4","86","81","8617","17690",,,"48231","46045",,,,,,,,
"461643","Bergin University of Canine Studies","2013",,,,,,,"50","32","0","2","0","4","0","84","5",,,,,,,,,,,,,,,,
"467058","ITT Technical Institute-Oakland","2013",,"90","44","18048",,,"169","169","1","12","35","28","0","12","19",,"88","3155","8272",,,"23984","23592",,,,,,,,
"475635","Academy of Couture Art","2013","71","72","33","22338",,,"21","21","0","0","33","19","0","24","5","75","29","5563","9837",,,"32826","32826",,,,,,,,
"478634","California College San Diego","2013",,,,"18480",,,"269","269","1","3","17","43","6","30","8","50","100","5014","12761",,,"23315","23093",,,,,,,,
"479600","ITT Technical Institute-Salem","2013",,"96","49","18048",,,"191","191","3","1","2","7","1","78","30",,"92","6062","9351",,,"21623","20794",,,,,,,,
"480204","Platt College-Riverside","2013",,,,"14572",,,"334","334","0","4","11","63","0","16","18",,"93","4375","9651",,,"29779","29693",,,,,,,,
"480781","California Miramar University","2013",,,,"7990",,,"317","66","0","5","5","1","0","13","16",,"8",,"3500",,,,"21442",,,,,,,,
"482389","National American University-Tigard","2013",,,,"12891",,,"46","46","2","0","11","0","2","74","11",,,,,,,,,,,,,,,,
"482431","DeVry University-California","2013","34","84","76","16010",,,"9156","7469","0","14","12","31","2","24","19","59","98","6269","8196",,,"17842","17722",,,,,,,,
"482547","DeVry University-Nevada","2013","64","80","93","16010",,,"440","293","1","8","22","20","2","40","19","50","100","4411","8204",,,"20127","20449",,,,,,,,
"482592","DeVry University-Oregon","2013","0","50","100","16010",,,"149","88","1","5","3","8","1","62","14",,,,,,,,,,,,,,,,
"482662","DeVry University-Washington","2013","29","78","86","16010",,,"673","466","1","8","10","6","2","54","21","67","100","4004","8107",,,"19112","16224",,,,,,,,
