112446,Coleman University,"8888 Balboa Ave, San Diego, California 92123-1506",www.coleman.edu
112570,Columbia College-Hollywood,"18618 Oxnard St, Tarzana, California 91356-1411",www.columbiacollege.edu
113582,Design Institute of San Diego,"8555 Commerce Ave, San Diego, California 92121",WWW.DISD.EDU
113698,Dominican University of California,"50 Acacia Ave, San Rafael, California 94901-2298",www.dominican.edu
114354,Fashion Institute of Design & Merchandising-Los Angeles,"919 S Grand Ave, Los Angeles, California 90015-1421",www.fidm.edu
114390,Fashion Institute of Design & Merchandising-San Francisco,"55 Stockton St, San Francisco, California 94108-5805",WWW.FIDM.EDU
115083,Golden Gate University-San Francisco,"536 Mission Street, San Francisco, California 94105-2968",www.ggu.edu
115409,Harvey Mudd College,"301 Platt Blvd., Claremont, California 91711",https://www.hmc.edu
115755,Humboldt State University,"1 Harpst Street, Arcata, California 95521-8299",www.humboldt.edu
115773,Humphreys College-Stockton and Modesto Campuses,"6650 Inglewood Ave, Stockton, California 95207-3896",www.humphreys.edu
116226,Interior Designers Institute,"1061 Camelback Rd, Newport Beach, California 92660",idi.edu
116466,ITT Technical Institute-National City,"401 Mile of Cars Way, Suite 100, National City, California 91950",www.itt-tech.edu
116475,ITT Technical Institute-San Dimas,"650 W. Cienega Ave., San Dimas, California 91773",www.itt-tech.edu
116484,ITT Technical Institute-Orange,"4000 W. Metropolitian Dr., Suite 100, Orange, California 92868",www.itt-tech.edu
116712,John F. Kennedy University,"100 Ellinwood Way, Pleasant Hill, California 94523-4817",www.jfku.edu
117113,The Art Institute of California-Argosy University San Diego,"7650 Mission Valley Road, San Diego, California 92108-4423",www.artinstitutes.edu/san-diego/
117140,University of La Verne,"1950 Third St, La Verne, California 91750-4401",www.laverne.edu/
117168,Laguna College of Art and Design,"2222 Laguna Canyon Rd, Laguna Beach, California 92651",www.lcad.edu
117557,Lincoln University,"401 15th Street, Oakland, California 94612-2801",www.lincolnuca.edu
117928,The Art Institute of California-Argosy University San Francisco,"1170 Market St, San Francisco, California 94102-4908",www.artinstitutes.edu/san-francisco/
118693,Menlo College,"1000 El Camino Real, Atherton, California 94027-4301",www.menlo.edu
118888,Mills College,"5000 MacArthur Blvd, Oakland, California 94613",www.mills.edu
